Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
2-Apr,Second Generation Airborne Precipitation Radar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
1DP,1D Particles Probe,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
2DC,2D Cloud Probe,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
2DVD,Two-dimensional Video Disdrometer (2DVD),GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
3D-IMAGER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,,,,,,,,,,,,,,
3DA,3D Plasma Analyzer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
3DP,3-D Plasma and Energetic Particle Investigation (WIND),GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
3MI,3MI,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,EUMETSAT (ESA),Proposed,,,Instrument TBC.,,,,,,,,
A-DCS,Advanced Data Collection System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,,,,,,,,,,,,,,
A-DCS4,ARGOS-Data Collection System,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Operational,Data collection,Data collection system,Data collection and communication system for receiving and retransmitting data from ocean and land-based remote observing platforms/transponders.,UHF,MW,,,,,,
AA,Atomic Absorption Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
AAS,Atomic Absorption Spectrophotometry,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
AATSR,Advanced Along-Track Scanning Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
